id	title	creator	pubd	pages	bc
dli.osmania.3040	ಮುಂದಿನ ದೇವರು	ಕೆ.ಕೆ.ಶೆಟ್ಟಿ	1936-01-01T00:00:00Z		
dli.osmania.3041	ಕುರುಡು ಓದು	ಮಾನಪ್ಪ	1946-01-01T00:00:00Z		
dli.osmania.3042	ಎಚ್ಚತ್ತ ಆಗ್ನೇಯ ಏಶಿಯ	ಎಂ. ಹರಿದಾಸ	1942-01-01T00:00:00Z		
dli.osmania.3043	ಕರುಣಾಲಹರಿ	ಎಂ.ವಿ. ಸೀತಾರಾಮಯ್ಯ	1955-01-01T00:00:00Z		
dli.osmania.3044	ಪುಟ್ಟರಸು	ಹೊಯಿಸಳ	1949-01-01T00:00:00Z		
dli.osmania.3045	ಮುಗುಳುನಗೆ	ಜಿಬಿಜ್	1950-01-01T00:00:00Z		
dli.osmania.3046	ಸಾವಿನ ಮೇಜವಾನಿ	ಪಾಟೀಲ ಪುಟ್ಟಪ್ಪ	1946-01-01T00:00:00Z		
dli.osmania.3047	ಕನ್ನದ ಸಾರ್ಥ ಜ್ಞಾನೇಶ್ವರಿ	ಶ್ರೀನಿವಾಸ ಕೃಷ್ಣ ಕುಲಕರ್ಣಿ	1952-01-01T00:00:00Z		
dli.osmania.3048	ಹೆಚ್ಚಾವುದು?	ರಘು	1939-01-01T00:00:00Z		
dli.osmania.3049	ದೇಶಾಂತರದ ಕಥೆಗಳು	ದೇವುಡು	1942-01-01T00:00:00Z		
dli.osmania.3050	ವೃಷ್ಟಿಧಾರೆ	ಧನ್ವಂತ	1949-01-01T00:00:00Z		
dli.osmania.3051	ಶ್ರೀ ಬನಶಂಕರಿ ಮಹಾತ್ಮೆ (ಶ್ರೀ ಶಾಕಂಬರಿ ಮಹಾತ್ಮೆ)	ಯಲ್ಲೋ ಗುಡ್ಡೋ ಕುಲಕರ್ಣಿ	1922-01-01T00:00:00Z		
dli.osmania.3052	ವಡ್ಡಾರಾಧನೆ	ಶ್ರೀಕಂಠಯ್ಯ ಅಚ್ಚುಕೂಟ	1949-01-01T00:00:00Z		
dli.osmania.3053	ಸಿದ್ಧರಾಮೇಶ್ವರನ ವಚನಗಳು	ಫ.ಗು.ಹಳಕಟ್ಟಿ	1932-01-01T00:00:00Z		
dli.osmania.3054	ಚಿನ್ನದ ಬಳೆ ಮತ್ತು ಇತರ ಕಥೆಗಳು	ಜಯಲಕ್ಷ್ಮಿ ಆರ್. ಶ್ರೀನಿವಾಸನ್	1946-01-01T00:00:00Z		
dli.osmania.3055	ಬೆಕ್ಕೋಜಿ	ಡಿ. ವಿ. ಜಿ.	1951-01-01T00:00:00Z		
dli.osmania.3056	ಮೈಥಿಲೀ	ಎಸ್. ಅನಂತನಾರಾಯಣ	1950-01-01T00:00:00Z		
dli.osmania.3057	ಕೆಲವು ಕಥೆಗಳು	ಆನಂದ	1944-01-01T00:00:00Z		
dli.osmania.3058	ಥರ್ಡಕ್ಲಾಸ ವೇಟಿಂಗ ರೂಮು	ಬೀಚಿ	1955-01-01T00:00:00Z		
dli.osmania.3059	ಸಮುದ್ರದಾಚೆಯಿಂದ ಭಾಗ ೨	ವಿ. ಕೃ. ಗೋಕಾಕ	1950-01-01T00:00:00Z		
dli.osmania.3060	ಬ್ರಹ್ಮಚರ್ಯವೇ ಜೀವನ ವೀರ್ಯನಾಶವೇ ಮೃತ್ಯು	ವರೂಡ ಶಿವಾನಂದಸ್ವಾಮಿ	1950-01-01T00:00:00Z		
dli.osmania.3061	ವೀಣೆ ಭವಾನಿ ಮತ್ತು ಇತರ ಕಥೆಗಳು	ಶ್ರೀಮತಿ ಕುಂತಳ	1945-01-01T00:00:00Z		
dli.osmania.3062	ತಾವರೆಕೆರೆ	ಕೈಲಾಸಂ	1943-01-01T00:00:00Z		
dli.osmania.3063	ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಯ ಪ್ರಾಚೀನ ಇತಿಹಾಸ	ಎಮ್. ಗಣಪತಿರಾವ್	1923-01-01T00:00:00Z		
dli.osmania.3064	ರಥಸಪ್ತಮಿ ಇತರ ಚಿತ್ರಗಳು	ಪು. ತಿ. ನರಸಿಂಹಾಚಾರ್ಯ	1945-01-01T00:00:00Z		
dli.osmania.3065	ದೃಷ್ಠಿಲಾಭ	ವಿ.ಎಂ. ಇನಾಂದಾರ್	1932-01-01T00:00:00Z		
dli.osmania.3066	ತೌಲಷ್ಟಾಯಿಯವರ ಕಥೆಗಳು	ಎಲ್. ಗುಂಡಪ್ಪ	1934-01-01T00:00:00Z		
dli.osmania.3067	ದೆಯ್ಯದ ಮನೆ ಅಥವಾ ಆಷಾಢ ಬಹುಳ ಅಮಾವಾಸ್ಯೆ	ಕೆ.ವಿ. ಐಯರ್	1949-01-01T00:00:00Z		
dli.osmania.3068	ಕನಕೋರ್ಣಾರ್ಜುನ ಕಥಾವಳಿ	ಬಿ. ಕೃಷ್ಣಪ್ಪ	1922-01-01T00:00:00Z		
dli.osmania.3069	ಅವಳ ಹುಚ್ಚು	ರಾಮಕೃಷ್ಣ ಶೆಟ್ಟಿ ಕಾರ್ಯಹಳ್ಳ	1950-01-01T00:00:00Z		
dli.osmania.3070	ನಮ್ಮ ಹಿಂದೂಸ್ಥಾನ	ಮಿನೂ ಮಸಾನಿ	1942-01-01T00:00:00Z		
dli.osmania.3071	ತಳಿರು ತೋರಣ	ಮ.ವಿ. ನಾಯಕ	1949-01-01T00:00:00Z		
dli.osmania.3072	ಆಗಷ್ಟ ಬಾನ್ ಬಟ್ಟು	ಬಸವರಾಜ ಕಟ್ಟೀಮನಿ	1942-01-01T00:00:00Z		
dli.osmania.3073	ಮರಾಠರು ಇಂಗ್ಲೀಷರು ೧ ೨ ೩ ಭಾಗಗಳು	ಭಿ.ಪ. ಕಾಳೆ	1941-01-01T00:00:00Z		
dli.osmania.3074	ಕಾಂಗ್ರೆಸ್ಸಿನ ಕಥೆ	ದತ್ತಾತ್ರೇಯ ಪರಶುರಾಮ ಕರಮಕರ	1935-01-01T00:00:00Z		
dli.osmania.3075	ಭಾಸ	ಎಚ್.ಎಲ್. ಹರಿಯಪ್ಪ	1941-01-01T00:00:00Z		
dli.osmania.3076	ಪ್ರೇತ ಸಂಹಾರ	ಜಿ. ದಾಶರಥಿ ದೀಕ್ಷಿತ್	1952-01-01T00:00:00Z		
dli.osmania.3077	ಕಲಿಕುಠಾರ	ವೆಂಕಟೇಶ ತಿರಕೋ ಕುಲಕರ್ಣಿ ಗಳಗನಾಥ	1938-01-01T00:00:00Z		
dli.osmania.3078	ಶ್ರೀ ಮಧ್ವಾಯುಮಹಾಪುರಾಣದ ಸಂಚಿಕಾ ೬	ಆರ್. ಸೇತುಮಾಧವಾಚಾರ್	1945-01-01T00:00:00Z		
dli.osmania.3079	ಆಧುನಿಕ ಚೀನಾ	ಎನ್. ಅನಂತನಾರಾಯಣ	1945-01-01T00:00:00Z		
